Subject,Noun,Object,Verb
တောင်ကြီးမြို့ ရဲ့,နေရာ,-,ရှာပေး
တောင်ကြီးမြို့,နေရာ,-,ရှာပေး
တောင်ကြီးမြို့ ရဲ့,နေရာ,-,ပြပေး
တောင်ကြီးမြို့ ,နေရာ,-,ပြပေး
တောင်ကြီးမြို့ ရဲ့,နေရာကို,-,ပြပေး
တောင်ကြီးမြို့ ,နေရာကို,-,ပြပေး
တောင်ကြီးမြို့ ကို,-,-,ရှာပေး
တောင်ကြီးမြို့ ကို,-,-,ပြပေး
တောင်ကြီးမြို့ ကို,-,-,ပြ
တောင်ကြီးမြို့,-,-,ပြ
တောင်ကြီးမြို့,-,-,ပြပေး
တောင်ကြီးမြို့,-,-,ရှာပေး
တောင်ကြီးမြို့ ကို,-,-,ရှာ
တောင်ကြီးမြို့,-,-,ရှာ
တောင်ကြီးမြို့ က,-,-,ဘယ်မှာလဲ
တောင်ကြီးမြို့,-,-,ဘယ်မှာလဲ
ရွှေညောင် ရဲ့,တည်နေရာကို,-,ရှာပေး
ရွှေညောင်,တည်နေရာကို,-,ရှာပေး
ရွှေညောင် ရဲ့,နေရာကို,-,ရှာပေး
ရွှေညောင်,နေရာကို,-,ရှာပေး
ရွှေညောင် ရဲ့,နေရာ,-,ရှာပေး
ရွှေညောင်,နေရာ,-,ရှာပေး
ရွှေညောင် ရဲ့,နေရာ,-,ပြပေး
ရွှေညောင် ,နေရာ,-,ပြပေး
ရွှေညောင် ရဲ့,နေရာကို,-,ပြပေး
ရွှေညောင် ,နေရာကို,-,ပြပေး
ရွှေညောင် ကို,-,-,ရှာပေး
ရွှေညောင် ကို,-,-,ပြပေး
ရွှေညောင် ကို,-,-,ပြ
ရွှေညောင်,-,-,ပြ
ရွှေညောင်,-,-,ပြပေး
ရွှေညောင်,-,-,ရှာပေး
ရွှေညောင် ကို,-,-,ရှာ
ရွှေညောင်,-,-,ရှာ
ရွှေညောင် က,-,-,ဘယ်မှာလဲ
ရွှေညောင်,-,-,ဘယ်မှာလဲ
မကွေး ရဲ့,တည်နေရာကို,-,ရှာပေး
မကွေး,တည်နေရာကို,-,ရှာပေး
မကွေး ရဲ့,နေရာကို,-,ရှာပေး
မကွေး,နေရာကို,-,ရှာပေး
မကွေး ရဲ့,နေရာ,-,ရှာပေး
မကွေး,နေရာ,-,ရှာပေး
မကွေး ရဲ့,နေရာ,-,ပြပေး
မကွေး ,နေရာ,-,ပြပေး
မကွေး ရဲ့,နေရာကို,-,ပြပေး
မကွေး ,နေရာကို,-,ပြပေး
မကွေး ကို,-,-,ရှာပေး
မကွေး ကို,-,-,ပြပေး
မကွေး ကို,-,-,ပြ
မကွေး,-,-,ပြ
မကွေး,-,-,ပြပေး
မကွေး,-,-,ရှာပေး
မကွေး ကို,-,-,ရှာ
မကွေး,-,-,ရှာ
မကွေး က,-,-,ဘယ်မှာလဲ
မကွေး,-,-,ဘယ်မှာလဲ
မိတ္ထီလာ ရဲ့,တည်နေရာကို,-,ရှာပေး
မိတ္ထီလာ,တည်နေရာကို,-,ရှာပေး
မိတ္ထီလာ ရဲ့,နေရာကို,-,ရှာပေး
မိတ္ထီလာ,နေရာကို,-,ရှာပေး
မိတ္ထီလာ ရဲ့,နေရာ,-,ရှာပေး
မိတ္ထီလာ,နေရာ,-,ရှာပေး
မိတ္ထီလာ ရဲ့,နေရာ,-,ပြပေး
မိတ္ထီလာ ,နေရာ,-,ပြပေး
မိတ္ထီလာ ရဲ့,နေရာကို,-,ပြပေး
မိတ္ထီလာ ,နေရာကို,-,ပြပေး
မိတ္ထီလာ ကို,-,-,ရှာပေး
မိတ္ထီလာ ကို,-,-,ပြပေး
မိတ္ထီလာ ကို,-,-,ပြ
မိတ္ထီလာ,-,-,ပြ
မိတ္ထီလာ,-,-,ပြပေး
မိတ္ထီလာ,-,-,ရှာပေး
မိတ္ထီလာ ကို,-,-,ရှာ
မိတ္ထီလာ,-,-,ရှာ
မိတ္ထီလာ က,-,-,ဘယ်မှာလဲ
မိတ္ထီလာ,-,-,ဘယ်မှာလဲ
